Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (Pa*s),Therm. Cond. (W/m*K),Phase
1407.1,12.75,19.686,0.050797,4304.9,4952.6,7.9762,2.1198,2.6191,893.42,0.83114,undefined,undefined,vapor
1410,12.75,19.644,0.050905,4311.1,4960.1,7.9816,2.1214,2.6204,894.3,0.82567,undefined,undefined,vapor
1412.9,12.75,19.603,0.051013,4317.2,4967.7,7.9869,2.1229,2.6218,895.19,0.82023,undefined,undefined,vapor
1415.8,12.75,19.561,0.051122,4323.4,4975.2,7.9922,2.1245,2.6231,896.07,0.81483,undefined,undefined,vapor
1418.6,12.75,19.52,0.05123,4329.6,4982.8,7.9976,2.1261,2.6244,896.95,0.80947,undefined,undefined,vapor
1421.5,12.75,19.479,0.051338,4335.7,4990.3,8.0029,2.1276,2.6257,897.83,0.80414,undefined,undefined,vapor
1424.4,12.75,19.438,0.051446,4341.9,4997.9,8.0082,2.1292,2.627,898.71,0.79886,undefined,undefined,vapor
1427.3,12.75,19.397,0.051554,4348.1,5005.4,8.0135,2.1308,2.6284,899.59,0.79361,undefined,undefined,vapor
1430.1,12.75,19.356,0.051663,4354.3,5013,8.0188,2.1323,2.6297,900.47,0.7884,undefined,undefined,vapor
1433,12.75,19.316,0.051771,4360.5,5020.6,8.0241,2.1339,2.631,901.34,0.78323,undefined,undefined,vapor
1435.9,12.75,19.276,0.051879,4366.7,5028.1,8.0294,2.1354,2.6323,902.22,0.77809,undefined,undefined,vapor
1438.8,12.75,19.236,0.051987,4372.9,5035.7,8.0346,2.137,2.6336,903.09,0.77299,undefined,undefined,vapor
1441.7,12.75,19.196,0.052095,4379.1,5043.3,8.0399,2.1385,2.635,903.96,0.76793,undefined,undefined,vapor
1444.5,12.75,19.156,0.052203,4385.3,5050.9,8.0452,2.1401,2.6363,904.83,0.7629,undefined,undefined,vapor
1447.4,12.75,19.116,0.052311,4391.5,5058.5,8.0504,2.1416,2.6376,905.7,0.75791,undefined,undefined,vapor
1450.3,12.75,19.077,0.052419,4397.7,5066.1,8.0557,2.1431,2.6389,906.57,0.75295,undefined,undefined,vapor
1453.2,12.75,19.038,0.052527,4403.9,5073.7,8.0609,2.1447,2.6402,907.44,0.74802,undefined,undefined,vapor
1456,12.75,18.999,0.052635,4410.2,5081.3,8.0661,2.1462,2.6416,908.31,0.74313,undefined,undefined,vapor
1458.9,12.75,18.96,0.052743,4416.4,5088.9,8.0713,2.1477,2.6429,909.17,0.73828,undefined,undefined,vapor
1461.8,12.75,18.921,0.052851,4422.6,5096.5,8.0765,2.1493,2.6442,910.04,0.73345,undefined,undefined,vapor
1464.7,12.75,18.883,0.052959,4428.9,5104.1,8.0817,2.1508,2.6455,910.9,0.72867,undefined,undefined,vapor
1467.6,12.75,18.844,0.053066,4435.1,5111.7,8.0869,2.1523,2.6468,911.76,0.72391,undefined,undefined,vapor
1470.4,12.75,18.806,0.053174,4441.4,5119.3,8.0921,2.1538,2.6481,912.63,0.71919,undefined,undefined,vapor
1473.3,12.75,18.768,0.053282,4447.6,5127,8.0973,2.1554,2.6494,913.49,0.7145,undefined,undefined,vapor
